1,6580
2,4370
3,7420
4,7980
5,12200
6,10700
7,10800
8,6940
9,6190
10,9100
11,11000
12,9970
13,10600
14,7620
15,7070
16,5890
17,6890
18,9430
19,9870
20,9830
21,9790
22,11600
23,10300
24,9420
25,13000
26,12800
27,14200
28,14300
29,11700
30,9200
31,8880
32,9690
33,13700
34,12100
35,14500
36,15100
37,14900
38,13000
39,13800
40,12000
41,13000
42,13800
43,14300
44,12500
45,14300
46,19500
47,18200
48,10200
49,8240
50,10700
51,11500
52,10000
53,8370
54,10200
55,10600
56,8410
57,7860
58,5910
59,7580
60,6670
61,8330
62,9030
63,7100
64,10000
65,9280
66,7230
67,8030
68,11100
69,10100
70,11100
71,10900
72,11500
73,8210
74,7370
75,6560
76,6610
77,8690
78,6060
79,9040
80,10800
81,16500
82,10600
83,9920
84,10100
85,9300
86,7140
87,9570
88,9710
89,12000
90,11700
91,7460
92,8050
93,7660
94,6820
95,7590
96,6860
97,7780
98,9160
99,6660
100,6880
101,5800
102,6140
103,6300
104,8360
105,5990
106,4180
107,4020
108,5090
109,4850
110,9540
111,11000
112,9240
113,6710
114,8090
115,10100
116,10100
117,10100
118,9550
119,10900
120,7440
121,6740
122,7390
123,6840
124,7430
125,7720
126,8520
127,10100
128,8900
129,10300
130,6850
131,7010
132,8460
133,10700
134,11400
135,9780
136,7580
137,7440
138,16800
139,15300
140,16500
141,11700
142,11800
143,14800
144,18200
145,15500
146,15900
147,13700
148,10900
149,9130
150,16700
151,19000
152,17000
153,16700
154,15300
155,14800
156,14700
157,17000
158,14500
159,15000
160,13900
161,13700
162,11600
163,10300
164,15600
165,14300
166,15400
167,16400
168,17300
169,12900
170,12000
171,17200
172,17800
173,21600
174,20300
175,20900
176,16400
177,12400
178,16500
179,18200
180,14800
181,15000
182,16400
183,15700
184,13500
185,19200
186,17400
187,15400
188,14100
189,16300
190,14100
191,11600
192,14600
193,17300
194,18700
195,20500
196,18400
197,13800
198,11400
199,18700
200,13600
201,16700
202,12700
203,12000
204,12000
205,11000
206,17000
207,19000
208,13100
209,20900
210,13900
211,12900
212,11300
213,13100
214,14700
215,12900
216,17900
217,19200
218,14300
219,9780
220,16700
221,15200
222,15700
223,13900
224,13700
225,13000
226,12600
227,13500
228,19900
229,21000
230,15400
231,14900
232,12700
233,11100
234,14600
235,13900
236,15300
237,12700
238,13300
239,11300
240,9680
241,11500
242,13400
243,14400
244,14900
245,16900
246,13000
247,14100
248,19700
249,17800
250,16900
251,16900
252,15400
253,14300
254,12600
255,16000
256,15100
257,15800
258,15800
259,16500
260,10400
261,10300
262,13200
263,11800
264,16900
265,16100
266,16300
267,12900
268,10000
269,16100
270,12500
271,14700
272,16300
273,13000
274,14200
275,13700
276,17700
277,12700
278,13400
279,13600
280,14200
281,15100
282,14800
283,18600
284,17600
285,15600
286,13800
287,14000
288,12000
289,14000
290,20500
291,17200
292,14300
293,14200
294,8340
295,7180
296,8450
297,9630
298,12800
299,13700
300,13300
301,10100
302,8560
303,8480
304,8510
305,10500
306,11600
307,12500
308,12300
309,8830
310,8650
311,10900
312,11100
313,11300
314,12300
315,15100
316,9560
317,7900
318,13700
319,13400
320,10500
321,9680
322,12200
323,11500
324,13200
325,9730
326,14100
327,12400
328,13100
329,9800
330,10200
331,12800
332,14800
333,11100
334,10400
335,11800
336,8980
337,8460
338,9560
339,9360
340,7490
341,8250
342,7870
343,8220
344,6180
345,7700
346,8320
347,9020
348,9280
349,9620
350,10100
351,6720
